Frequency	Imp. Mag	Imp. Angle
+3.00091655817564E+002	+1.63356814207083E+001	+7.41553046413543E+000
+3.04945408533221E+002	+1.63472388549205E+001	+7.68448333346133E+000
+3.09877666981937E+002	+1.63471531534608E+001	+7.99724017679150E+000
+3.14889700933823E+002	+1.63565121191632E+001	+8.42081064792343E+000
+3.19982800696547E+002	+1.63751507620398E+001	+8.81057384457839E+000
+3.25158277447519E+002	+1.64039909914876E+001	+9.19759043798144E+000
+3.30417463571437E+002	+1.64327370184352E+001	+9.49517918278546E+000
+3.35761713003303E+002	+1.64445740523730E+001	+9.73475636330699E+000
+3.41192401576977E+002	+1.64524150416831E+001	+1.01080813896449E+001
+3.46710927379383E+002	+1.64686156863875E+001	+1.04993345052240E+001
+3.52318711110427E+002	+1.64819078148738E+001	+1.08875233981283E+001
+3.58017196448748E+002	+1.65245207148444E+001	+1.13978762862555E+001
+3.63807850423385E+002	+1.65544400349837E+001	+1.15739985764120E+001
+3.69692163791442E+002	+1.65585058756376E+001	+1.19097484891315E+001
+3.75671651421885E+002	+1.65720756814347E+001	+1.24453557815014E+001
+3.81747852685518E+002	+1.66141854385232E+001	+1.28699913179967E+001
+3.87922331851293E+002	+1.66531607996178E+001	+1.33070240133596E+001
+3.94196678489015E+002	+1.66948065472659E+001	+1.37778649086996E+001
+4.00572507878561E+002	+1.67567288637614E+001	+1.41378568360628E+001
+4.07051461425724E+002	+1.68155943534383E+001	+1.43562496876884E+001
+4.13635207084779E+002	+1.68423784039058E+001	+1.45794753547571E+001
+4.20325439787883E+002	+1.68778737229970E+001	+1.48582890075571E+001
+4.27123881881423E+002	+1.69309706902117E+001	+1.52044877515070E+001
+4.34032283569420E+002	+1.69654105144994E+001	+1.53952540031207E+001
+4.41052423364106E+002	+1.69734635901038E+001	+1.56011605444680E+001
+4.48186108543784E+002	+1.70179991925714E+001	+1.60961027392388E+001
+4.55435175618101E+002	+1.70679814175905E+001	+1.65657597115962E+001
+4.62801490800840E+002	+1.71254711185975E+001	+1.67260794174100E+001
+4.70286950490363E+002	+1.71560451258383E+001	+1.71037186032582E+001
+4.77893481757826E+002	+1.72207463280085E+001	+1.75807320322362E+001
+4.85623042843280E+002	+1.72868053763438E+001	+1.79309953935056E+001
+4.93477623659813E+002	+1.74099860537586E+001	+1.82796835061251E+001
+5.01459246305832E+002	+1.75130648022593E+001	+1.82495817018976E+001
+5.09569965585639E+002	+1.75914782288569E+001	+1.75885738679457E+001
+5.17811869538417E+002	+1.75493780987012E+001	+1.75847520985357E+001
+5.26187079975790E+002	+1.75722313831958E+001	+1.79930799427415E+001
+5.34697753028055E+002	+1.75736420935970E+001	+1.75297670099658E+001
+5.43346079699269E+002	+1.75839415516508E+001	+1.85815592245203E+001
+5.52134286431300E+002	+1.76630242739575E+001	+1.91514280761317E+001
+5.61064635677007E+002	+1.78091372163432E+001	+1.91148670469909E+001
+5.70139426482694E+002	+1.79030615782550E+001	+1.86625968078518E+001
+5.79360995079976E+002	+1.78840440486879E+001	+1.81886044283917E+001
+5.88731715487227E+002	+1.78837114405883E+001	+1.80832375675017E+001
+5.98254000120749E+002	+1.77797500774473E+001	+1.79542718923894E+001
+6.07930300415830E+002	+1.77802050550799E+001	+1.89931270075483E+001
+6.17763107457848E+002	+1.78959492039982E+001	+1.93192862002467E+001
+6.27754952623577E+002	+1.79531432952126E+001	+1.95610108090455E+001
+6.37908408232874E+002	+1.80093396581352E+001	+1.96552078585599E+001
+6.48226088210898E+002	+1.80993787658300E+001	+1.91894160335619E+001
+6.58710648761046E+002	+1.79544564413455E+001	+1.87160094336477E+001
+6.69364789048773E+002	+1.79800616747174E+001	+1.94327929740767E+001
+6.80191251896463E+002	+1.79146941219034E+001	+2.00356296723602E+001
+6.91192824489558E+002	+1.80186036888025E+001	+2.03244361122196E+001
+7.02372339094084E+002	+1.79939214140822E+001	+2.07722180647917E+001
+7.13732673785806E+002	+1.81212427688912E+001	+2.13690089476289E+001
+7.25276753191156E+002	+1.82014474680507E+001	+2.10293368756494E+001
+7.37007549240163E+002	+1.82075403295577E+001	+2.08056588646423E+001
+7.48928081931547E+002	+1.81555018304276E+001	+2.10373574905594E+001
+7.61041420110189E+002	+1.81494124340357E+001	+2.18630921824591E+001
+7.73350682257196E+002	+1.82219770268457E+001	+2.22878128511435E+001
+7.85859037292710E+002	+1.82902483883652E+001	+2.23751679147349E+001
+7.98569705391733E+002	+1.83821685925265E+001	+2.25648517465974E+001
+8.11485958813132E+002	+1.83314652382479E+001	+2.23485642671475E+001
+8.24611122742053E+002	+1.83216219220990E+001	+2.32306737104715E+001
+8.37948576145968E+002	+1.84371814167625E+001	+2.39935344598361E+001
+8.51501752644558E+002	+1.86131784449162E+001	+2.42601995392638E+001
+8.65274141393675E+002	+1.87424451536874E+001	+2.36630705322926E+001
+8.79269287983591E+002	+1.87899237195696E+001	+2.27629764603296E+001
+8.93490795351790E+002	+1.86889359706042E+001	+2.17106410863107E+001
+9.07942324710507E+002	+1.84836391227554E+001	+2.20926596409099E+001
+9.22627596489282E+002	+1.84521447637023E+001	+2.33383388276727E+001
+9.37550391292757E+002	+1.85024781746839E+001	+2.39992793562153E+001
+9.52714550873953E+002	+1.85307162557238E+001	+2.44399315534998E+001
+9.68123979123307E+002	+1.85490287847751E+001	+2.48165903464382E+001
+9.83782643073695E+002	+1.85602184192150E+001	+2.55569234944524E+001
+9.99694573921710E+002	+1.86264971071708E+001	+2.62638202047139E+001
+1.01586386806546E+003	+1.87407419921973E+001	+2.66661679126911E+001
+1.03229468815917E+003	+1.87949391226477E+001	+2.69396035339940E+001
+1.04899126418479E+003	+1.88560169389534E+001	+2.71312011575777E+001
+1.06595789454099E+003	+1.89182223839414E+001	+2.75050891546410E+001
+1.08319894714976E+003	+1.89710495293160E+001	+2.75688815309586E+001
+1.10071886058088E+003	+1.89797502282117E+001	+2.78680526842018E+001
+1.11852214519460E+003	+1.89926232384739E+001	+2.84014895006160E+001
+1.13661338430276E+003	+1.90440313160253E+001	+2.90523199542709E+001
+1.15499723534881E+003	+1.91024797674363E+001	+2.97993221260938E+001
+1.17367843110675E+003	+1.92091291271141E+001	+3.06594152234097E+001
+1.19266178089957E+003	+1.93736608946768E+001	+3.14413477650405E+001
+1.21195217183740E+003	+1.96025072676501E+001	+3.19645976595566E+001
+1.23155457007562E+003	+1.98927056018798E+001	+3.18293681163669E+001
+1.25147402209337E+003	+2.01846849834852E+001	+3.05828922650951E+001
+1.27171565599272E+003	+2.02534049608870E+001	+2.78219588621960E+001
+1.29228468281889E+003	+1.99926753137822E+001	+2.66679100722087E+001
+1.31318639790172E+003	+1.97243467696339E+001	+2.66437171305637E+001
+1.33442618221900E+003	+1.96295478462941E+001	+2.74158148148242E+001
+1.35600950378168E+003	+1.95692698474363E+001	+2.83546456588919E+001
+1.37794191904164E+003	+1.96003013610048E+001	+2.95580236183112E+001
+1.40022907432206E+003	+1.96634345722696E+001	+3.03051744067198E+001
+1.42287670727113E+003	+1.97264342176017E+001	+3.08188530420768E+001
+1.44589064833906E+003	+1.97776444671636E+001	+3.13941793012327E+001
+1.46927682227915E+003	+1.98603494518435E+001	+3.19171442658411E+001
+1.49304124967304E+003	+1.99300344608698E+001	+3.22667798570911E+001
+1.51719004848068E+003	+1.99801999352647E+001	+3.28248911216671E+001
+1.54172943561531E+003	+2.00836528744083E+001	+3.34888652889890E+001
+1.56666572854402E+003	+2.02223264735645E+001	+3.38639817111785E+001
+1.59200534691405E+003	+2.03279938370776E+001	+3.38731718927540E+001
+1.61775481420554E+003	+2.04048404966373E+001	+3.41726852093261E+001
+1.64392075941093E+003	+2.05309307113568E+001	+3.42530853902438E+001
+1.67050991874153E+003	+2.06066905125743E+001	+3.39605678803283E+001
