Frequency	Imp. Mag	Imp. Angle
+4.85623042843280E+002	+1.90558416829044E+001	+1.31978737053279E+001
+4.93477623659813E+002	+1.91209041053208E+001	+1.38496266541341E+001
+5.01459246305832E+002	+1.92035250297303E+001	+1.43142470457423E+001
+5.09569965585639E+002	+1.92940091335708E+001	+1.45677400999089E+001
+5.17811869538417E+002	+1.93229184357391E+001	+1.48439150726311E+001
+5.26187079975790E+002	+1.93593097308906E+001	+1.53558869774006E+001
+5.34697753028055E+002	+1.94385686146219E+001	+1.55076276699402E+001
+5.43346079699269E+002	+1.94045806544476E+001	+1.62453221811417E+001
+5.52134286431300E+002	+1.94810565517324E+001	+1.72116400414495E+001
+5.61064635677007E+002	+1.96314623485200E+001	+1.79267517757600E+001
+5.70139426482694E+002	+1.97958542155378E+001	+1.81858684747076E+001
+5.79360995079976E+002	+1.99135413244815E+001	+1.78682993221911E+001
+5.88731715487227E+002	+1.99601887792194E+001	+1.78342438568814E+001
+5.98254000120749E+002	+1.99963716786298E+001	+1.74322337265930E+001
+6.07930300415830E+002	+1.99502813259167E+001	+1.79067816705701E+001
+6.17763107457848E+002	+1.99855073738690E+001	+1.88227280421746E+001
+6.27754952623577E+002	+2.00941863751547E+001	+1.96850985498339E+001
+6.37908408232874E+002	+2.01997156198143E+001	+2.00084443452036E+001
+6.48226088210898E+002	+2.04170557533457E+001	+2.02554593433755E+001
+6.58710648761046E+002	+2.05341102412615E+001	+1.94814352683141E+001
+6.69364789048773E+002	+2.05990912808563E+001	+1.93044248643789E+001
+6.80191251896463E+002	+2.05940739620389E+001	+1.86351378390905E+001
+6.91192824489558E+002	+2.06091373083897E+001	+1.90313250133808E+001
+7.02372339094084E+002	+2.05130398087431E+001	+1.91687656677264E+001
+7.13732673785806E+002	+2.07431737046156E+001	+2.05402908965743E+001
+7.25276753191156E+002	+2.09467003088191E+001	+1.94643481880250E+001
+7.37007549240163E+002	+2.09483883937435E+001	+1.85874938933030E+001
+7.48928081931547E+002	+2.08684540864616E+001	+1.80679237272235E+001
+7.61041420110189E+002	+2.07967671179048E+001	+1.85856181385148E+001
+7.73350682257196E+002	+2.08236946907216E+001	+1.89539587351995E+001
+7.85859037292710E+002	+2.09250232567568E+001	+1.88040314227564E+001
+7.98569705391733E+002	+2.09483787117857E+001	+1.88490361014487E+001
+8.11485958813132E+002	+2.08741903245778E+001	+1.78344426312472E+001
+8.24611122742053E+002	+2.07303734137834E+001	+1.84947348724487E+001
+8.37948576145968E+002	+2.07701274267121E+001	+1.94867901328169E+001
+8.51501752644558E+002	+2.08717519284566E+001	+2.02151907207710E+001
+8.65274141393675E+002	+2.08776386650367E+001	+1.98698461142733E+001
+8.79269287983591E+002	+2.09191792396210E+001	+2.03045188953570E+001
+8.93490795351790E+002	+2.09118934997572E+001	+2.01333430994107E+001
+9.07942324710507E+002	+2.09424022520862E+001	+2.07408324878616E+001
+9.22627596489282E+002	+2.09924911323707E+001	+2.07536325784741E+001
