Frequency	Imp. Mag	Imp. Angle
+1.04076844069647E+002	+2.33301738497814E+001	+5.01842926698845E+001
+1.05760207317998E+002	+2.37552664015234E+001	+5.16793528761450E+001
+1.07470797677732E+002	+2.41983829674961E+001	+5.21877191932850E+001
+1.09209055526525E+002	+2.45813806865779E+001	+5.29060398241160E+001
+1.10975428364824E+002	+2.50248022706744E+001	+5.38668697525810E+001
+1.12770370931053E+002	+2.55165496803208E+001	+5.52217712533422E+001
+1.14594345318681E+002	+2.61912550323211E+001	+5.63906117246237E+001
+1.16447821095188E+002	+2.69638567740326E+001	+5.66429749244683E+001
+1.18331275422944E+002	+2.76353135891527E+001	+5.58889648352318E+001
+1.20245193182059E+002	+2.82395742579130E+001	+5.70800525895170E+001
+1.22190067095204E+002	+2.95290808605755E+001	+5.83668299392752E+001
+1.24166397854464E+002	+3.06907106839674E+001	+5.40841983271949E+001
+1.26174694250236E+002	+3.15227795398126E+001	+5.24601398524220E+001
+1.28215473302209E+002	+3.27470584957295E+001	+5.21440873691660E+001
+1.30289260392471E+002	+3.52131935551992E+001	+5.06231211456896E+001
+1.32396589400763E+002	+3.75271602721495E+001	+3.83278444985355E+001
+1.34538002841924E+002	+3.94250484650477E+001	+1.81053690798674E+001
+1.36714052005550E+002	+3.98037879021735E+001	-6.58909102202187E+000
+1.38925297097929E+002	+3.89056418133422E+001	-3.14058582071900E+001
+1.41172307386254E+002	+3.62740794931042E+001	-4.71160718983792E+001
+1.43455661345180E+002	+3.40317533741878E+001	-5.46536315313931E+001
+1.45775946805746E+002	+3.23639643411690E+001	-5.95949066073341E+001
+1.48133761106707E+002	+3.02630598452843E+001	-6.10656878897341E+001
+1.50529711248318E+002	+2.87688819120323E+001	-5.88051684587281E+001
+1.52964414048594E+002	+2.80126048912262E+001	-5.57817449068833E+001
+1.55438496302113E+002	+2.72673370603543E+001	-5.67049652682614E+001
+1.57952594941372E+002	+2.63538180155263E+001	-5.59461654780185E+001
+1.60507357200766E+002	+2.54829276340367E+001	-5.56925798626838E+001
+1.63103440783210E+002	+2.48428349756379E+001	-5.35413931519620E+001
+1.65741514029458E+002	+2.42254992961807E+001	-5.28206086984264E+001
+1.68422256090166E+002	+2.34446525400456E+001	-5.07534782455197E+001
+1.71146357100731E+002	+2.30016280741677E+001	-4.80167045168735E+001
+1.73914518358962E+002	+2.26596757729124E+001	-4.61776840534368E+001
+1.76727452505622E+002	+2.22922258087444E+001	-4.51172677348538E+001
+1.79585883707894E+002	+2.18866670509594E+001	-4.40074733248786E+001
+1.82490547845809E+002	+2.13968299032893E+001	-4.18809890206373E+001
+1.85442192701696E+002	+2.11100644799220E+001	-3.93575788262958E+001
+1.88441578152688E+002	+2.09931752402614E+001	-3.75329518458092E+001
+1.91489476366350E+002	+2.07598921054749E+001	-3.63264733842480E+001
+1.94586671999467E+002	+2.05221017715169E+001	-3.49924181252692E+001
+1.97733962400045E+002	+2.03093188058130E+001	-3.28578192951735E+001
+2.00932157812583E+002	+2.01814299169567E+001	-3.16757484927575E+001
+2.04182081586668E+002	+2.00665038762503E+001	-3.01784944892145E+001
+2.07484570388930E+002	+1.98603319008371E+001	-2.94431545851030E+001
+2.10840474418446E+002	+1.96537759007951E+001	-2.76819853300510E+001
+2.14250657625609E+002	+1.96180644319332E+001	-2.54897592576886E+001
+2.17715997934551E+002	+1.96070606282281E+001	-2.46102485403593E+001
+2.21237387469152E+002	+1.95562888889147E+001	-2.40638195110307E+001
+2.24815732782712E+002	+1.94019826202596E+001	-2.33187312860922E+001
+2.28451955091338E+002	+1.92974616634955E+001	-2.17511101152673E+001
+2.32146990511103E+002	+1.92040321643736E+001	-2.10892370080613E+001
+2.35901790299039E+002	+1.91846947070301E+001	-1.95804028466800E+001
+2.39717321098031E+002	+1.91026144339576E+001	-1.90784902453529E+001
+2.43594565185673E+002	+1.90303164890511E+001	-1.85156501623613E+001
+2.47534520727150E+002	+1.88776383107968E+001	-1.73228366220602E+001
+2.51538202032201E+002	+1.88188664356617E+001	-1.60146856444947E+001
+2.55606639816247E+002	+1.87656143734292E+001	-1.49569283319900E+001
+2.59740881465746E+002	+1.87212814684133E+001	-1.37563313727646E+001
+2.63941991307827E+002	+1.87216247407453E+001	-1.29153127507497E+001
+2.68211050884297E+002	+1.86925025383248E+001	-1.21280775535965E+001
+2.72549159230069E+002	+1.86365372154263E+001	-1.12408689799169E+001
+2.76957433156110E+002	+1.86046404502403E+001	-1.01664344945268E+001
+2.81437007536946E+002	+1.86008140011178E+001	-9.44615124959896E+000
+2.85989035602829E+002	+1.85536009814205E+001	-8.41319044728327E+000
+2.90614689236629E+002	+1.85651373796004E+001	-7.51574287334872E+000
+2.95315159275522E+002	+1.85867254238476E+001	-6.65832229410693E+000
+3.00091655817564E+002	+1.85809933452608E+001	-6.10669360518411E+000
+3.04945408533221E+002	+1.85668967150362E+001	-5.51226626408767E+000
+3.09877666981937E+002	+1.85362309031370E+001	-4.71046369587313E+000
+3.14889700933823E+002	+1.85333292073457E+001	-3.94538196801576E+000
+3.19982800696547E+002	+1.85217302942994E+001	-3.07772771608983E+000
+3.25158277447519E+002	+1.85127795640570E+001	-2.39687001604866E+000
+3.30417463571437E+002	+1.85320494064580E+001	-1.56668526603415E+000
+3.35761713003303E+002	+1.85223572285819E+001	-8.02449014517708E-001
+3.41192401576977E+002	+1.85401730860212E+001	-6.97810537967249E-002
+3.46710927379383E+002	+1.85552330634522E+001	+6.52074984235600E-001
+3.52318711110427E+002	+1.85600928656466E+001	+1.35960008232171E+000
+3.58017196448748E+002	+1.86108674050534E+001	+2.22205905992841E+000
+3.63807850423385E+002	+1.86532304429138E+001	+2.62018552509049E+000
+3.69692163791442E+002	+1.86362808862262E+001	+3.13216134386446E+000
+3.75671651421885E+002	+1.86374811755011E+001	+3.96583211673560E+000
+3.81747852685518E+002	+1.86726105320340E+001	+4.63357849952778E+000
+3.87922331851293E+002	+1.87105941918551E+001	+5.29337877175168E+000
+3.94196678489015E+002	+1.87383276260842E+001	+5.98029446274936E+000
+4.00572507878561E+002	+1.87627876839524E+001	+6.45790327484842E+000
+4.07051461425724E+002	+1.87834008171033E+001	+7.08484043628758E+000
+4.13635207084779E+002	+1.87905843259729E+001	+7.77760231112426E+000
+4.20325439787883E+002	+1.88283582280581E+001	+8.43917115017988E+000
+4.27123881881423E+002	+1.88644047496852E+001	+9.18161512498607E+000
+4.34032283569420E+002	+1.88947338074690E+001	+9.75755044315017E+000
+4.41052423364106E+002	+1.89050205869127E+001	+1.04670382868661E+001
+4.48186108543784E+002	+1.89560813344719E+001	+1.12880401948349E+001
+4.55435175618101E+002	+1.89665879657656E+001	+1.21911416603749E+001
+4.62801490800840E+002	+1.90231965618983E+001	+1.31070110184154E+001
