Frequency	Imp. Mag	Imp. Angle
+2.63941991307827E+002	+1.62220065858773E+001	+3.22679569070901E+000
+2.68211050884297E+002	+1.62456504710812E+001	+3.61994157770823E+000
+2.72549159230069E+002	+1.62572362115734E+001	+4.09836642242413E+000
+2.76957433156110E+002	+1.62778169732629E+001	+4.69528190525737E+000
+2.81437007536946E+002	+1.63117155562768E+001	+4.99762648243138E+000
+2.85989035602829E+002	+1.63341429470267E+001	+5.49745179137900E+000
+2.90614689236629E+002	+1.63736514532399E+001	+5.87076013807260E+000
+2.95315159275522E+002	+1.64339994687245E+001	+6.23099671110383E+000
+3.00091655817564E+002	+1.64752058981837E+001	+6.33041521509417E+000
+3.04945408533221E+002	+1.64935145347022E+001	+6.13250429512804E+000
+3.09877666981937E+002	+1.64428508908029E+001	+6.37854003326876E+000
+3.14889700933823E+002	+1.64311149249392E+001	+6.80781822362953E+000
+3.19982800696547E+002	+1.64295902875311E+001	+7.29350692817363E+000
+3.25158277447519E+002	+1.64208995180295E+001	+7.68267811070721E+000
+3.30417463571437E+002	+1.64504587145976E+001	+8.17685444921646E+000
+3.35761713003303E+002	+1.64593720715568E+001	+8.54642861673354E+000
+3.41192401576977E+002	+1.64704771739286E+001	+8.95842986946538E+000
+3.46710927379383E+002	+1.64983734268082E+001	+9.33805314187337E+000
+3.52318711110427E+002	+1.64990408625900E+001	+9.75339411318999E+000
+3.58017196448748E+002	+1.65661292339546E+001	+1.02679181135606E+001
+3.63807850423385E+002	+1.65908923708701E+001	+1.03329352539935E+001
+3.69692163791442E+002	+1.65824294457976E+001	+1.06037228408608E+001
+3.75671651421885E+002	+1.65766619936290E+001	+1.11103307796679E+001
+3.81747852685518E+002	+1.66054221520671E+001	+1.15842143270776E+001
+3.87922331851293E+002	+1.66392158525579E+001	+1.19283968411277E+001
+3.94196678489015E+002	+1.66743720971512E+001	+1.24755947544344E+001
+4.00572507878561E+002	+1.67126939107318E+001	+1.27650862294316E+001
+4.07051461425724E+002	+1.67376343216912E+001	+1.30077407403465E+001
+4.13635207084779E+002	+1.67499788567954E+001	+1.34797827726377E+001
+4.20325439787883E+002	+1.67892429592017E+001	+1.37892338389220E+001
+4.27123881881423E+002	+1.68374994683453E+001	+1.41861674974580E+001
+4.34032283569420E+002	+1.68584838953571E+001	+1.44545579327943E+001
+4.41052423364106E+002	+1.68685648654862E+001	+1.46949753522059E+001
+4.48186108543784E+002	+1.68936718925119E+001	+1.51573345062714E+001
+4.55435175618101E+002	+1.69087532859649E+001	+1.56828019897655E+001
+4.62801490800840E+002	+1.69472600861296E+001	+1.61007532405802E+001
+4.70286950490363E+002	+1.69676817668698E+001	+1.65753422878092E+001
+4.77893481757826E+002	+1.70081985261665E+001	+1.72358725390920E+001
+4.85623042843280E+002	+1.70488183212652E+001	+1.78551654238816E+001
+4.93477623659813E+002	+1.71075708134788E+001	+1.86264016000740E+001
+5.01459246305832E+002	+1.72026702926203E+001	+1.95395324728348E+001
+5.09569965585639E+002	+1.73518338988788E+001	+2.03943118426108E+001
+5.17811869538417E+002	+1.75481338212861E+001	+2.13632255210447E+001
+5.26187079975790E+002	+1.79309641246931E+001	+2.21272000607315E+001
+5.34697753028055E+002	+1.85144214231655E+001	+2.07812879313223E+001
+5.43346079699269E+002	+1.88266596645254E+001	+1.54760819420405E+001
+5.52134286431300E+002	+1.80461976848771E+001	+1.04830490368048E+001
+5.61064635677007E+002	+1.73899053951872E+001	+1.42296614000036E+001
+5.70139426482694E+002	+1.75187315044732E+001	+1.57658320945280E+001
+5.79360995079976E+002	+1.74480426022328E+001	+1.64751731117610E+001
+5.88731715487227E+002	+1.74917509620287E+001	+1.75062137410166E+001
+5.98254000120749E+002	+1.75394715459963E+001	+1.81683876011825E+001
+6.07930300415830E+002	+1.75635229816852E+001	+1.85326478488775E+001
+6.17763107457848E+002	+1.76165126666551E+001	+1.90604415263044E+001
+6.27754952623577E+002	+1.76643974891958E+001	+1.93245545359249E+001
+6.37908408232874E+002	+1.76764169508744E+001	+1.96013296642329E+001
+6.48226088210898E+002	+1.76868045320565E+001	+2.00926624492633E+001
+6.58710648761046E+002	+1.77300344402936E+001	+2.06306714647501E+001
+6.69364789048773E+002	+1.77775704083649E+001	+2.10602345307989E+001
+6.80191251896463E+002	+1.78205399157174E+001	+2.15175811702456E+001
+6.91192824489558E+002	+1.78717752435796E+001	+2.21827642421177E+001
+7.02372339094084E+002	+1.79412148542599E+001	+2.27976762163383E+001
+7.13732673785806E+002	+1.80429099516557E+001	+2.36876443577871E+001
+7.25276753191156E+002	+1.82702310123633E+001	+2.45396303135439E+001
+7.37007549240163E+002	+1.86781881140634E+001	+2.33820655689308E+001
+7.48928081931547E+002	+1.85277976319466E+001	+2.04589405335064E+001
+7.61041420110189E+002	+1.83168596757544E+001	+2.20836135276496E+001
+7.73350682257196E+002	+1.83708638653287E+001	+2.20264505997252E+001
+7.85859037292710E+002	+1.83852698058245E+001	+2.23062731466358E+001
+7.98569705391733E+002	+1.84225679648309E+001	+2.26486991275070E+001
+8.11485958813132E+002	+1.83878066742577E+001	+2.31040828376432E+001
+8.24611122742053E+002	+1.83709286527168E+001	+2.42576110137822E+001
+8.37948576145968E+002	+1.85395848456875E+001	+2.58177833666440E+001
+8.51501752644558E+002	+1.89908465036320E+001	+2.71373453507443E+001
+8.65274141393675E+002	+1.96263846740845E+001	+2.49804093549743E+001
+8.79269287983591E+002	+1.97089431787109E+001	+1.87381071348612E+001
+8.93490795351790E+002	+1.87588373451089E+001	+1.57604976511907E+001
+9.07942324710507E+002	+1.82922872162705E+001	+1.95436682713384E+001
+9.22627596489282E+002	+1.83544980490451E+001	+2.15707638988806E+001
+9.37550391292757E+002	+1.84042526424273E+001	+2.26036411641770E+001
+9.52714550873953E+002	+1.84503917900018E+001	+2.33160502459227E+001
+9.68123979123307E+002	+1.84635239366758E+001	+2.39044489097301E+001
+9.83782643073695E+002	+1.84948587077206E+001	+2.46127199211502E+001
+9.99694573921710E+002	+1.85230882337826E+001	+2.52436107826280E+001
+1.01586386806546E+003	+1.86074712138558E+001	+2.67040863172765E+001
+1.03229468815917E+003	+1.88817903480464E+001	+2.70493168268437E+001
+1.04899126418479E+003	+1.89159086096931E+001	+2.45172676898392E+001
+1.06595789454099E+003	+1.86748221939714E+001	+2.65408731772123E+001
+1.08319894714976E+003	+1.87741007959483E+001	+2.73266760003958E+001
+1.10071886058088E+003	+1.88558761158142E+001	+2.73810524770217E+001
+1.11852214519460E+003	+1.87897443660781E+001	+2.83521347000730E+001
+1.13661338430276E+003	+1.88935859122469E+001	+2.92031865018806E+001
+1.15499723534881E+003	+1.89904599004288E+001	+2.99171830149114E+001
+1.17367843110675E+003	+1.90927342350055E+001	+3.05774301007242E+001
+1.19266178089957E+003	+1.92113939468527E+001	+3.14029373621743E+001
+1.21195217183740E+003	+1.93960592227994E+001	+3.20861959623019E+001
+1.23155457007562E+003	+1.96228505389996E+001	+3.24472745152248E+001
+1.25147402209337E+003	+1.98626580398402E+001	+3.23039161190010E+001
+1.27171565599272E+003	+2.01467951136802E+001	+3.21810393262572E+001
+1.29228468281889E+003	+2.04383727534368E+001	+2.93709863421715E+001
+1.31318639790172E+003	+2.02345682423592E+001	+2.60524536829749E+001
+1.33442618221900E+003	+1.98279428303767E+001	+2.64888792423617E+001
+1.35600950378168E+003	+1.95844629327107E+001	+2.72480820371372E+001
+1.37794191904164E+003	+1.95317822904422E+001	+2.96057671691937E+001
+1.40022907432206E+003	+1.97176649542768E+001	+3.04424293776376E+001
+1.42287670727113E+003	+1.97671892230753E+001	+3.09356819589654E+001
+1.44589064833906E+003	+1.98556663033188E+001	+3.14641257510657E+001
+1.46927682227915E+003	+1.99595234702651E+001	+3.19212238404166E+001
+1.49304124967304E+003	+2.00620066630297E+001	+3.21251053524548E+001
+1.51719004848068E+003	+2.01700454235435E+001	+3.19875736772285E+001
+1.54172943561531E+003	+2.01642961302503E+001	+3.25125827970238E+001
+1.56666572854402E+003	+2.01637563873158E+001	+3.13411878915065E+001
+1.59200534691405E+003	+2.01118483572367E+001	+3.35274597195869E+001
+1.61775481420554E+003	+2.02780561043596E+001	+3.29969839618839E+001
+1.64392075941093E+003	+2.02487228391105E+001	+3.43499416143423E+001
+1.67050991874153E+003	+2.03622980274196E+001	+3.52700805975564E+001
+1.69752913736171E+003	+2.05585567640475E+001	+3.56085638980452E+001
+1.72498537115111E+003	+2.07122471546843E+001	+3.58447552248720E+001
+1.75288568849544E+003	+2.08568221504970E+001	+3.55249641920998E+001
